행정구역별(시도),거처의 종류별,가구-계,반려동물미보유가구-계,반려동물보유가구-계,개,고양이,기타,계
충청북도,주택이외의 거처,20063,16285,3778,2933,381,95,3409
충청남도,계,892222,734862,157360,115810,24638,5406,145854
충청남도,주택,854972,704023,150949,111177,23578,5214,139969
충청남도,단독주택,381479,298159,83320,65464,8492,1389,75345
충청남도,아파트,413392,354605,58787,39578,13385,3482,56445
충청남도,연립주택,16762,14517,2245,1514,495,98,2107
충청남도,다세대주택,29934,25790,4144,2877,846,177,3900
충청남도,비거주용 건물 내 주택,13405,10952,2453,1744,360,68,2172
충청남도,주택이외의 거처,37250,30839,6411,4633,1060,192,5885
전라북도,계,755575,645814,109761,83750,15846,3642,103238
전라북도,주택,736140,630244,105896,80635,15469,3592,99696
전라북도,단독주택,335270,271598,63672,51640,6284,1181,59105
전라북도,아파트,366044,328057,37987,25962,8356,2293,36611
전라북도,연립주택,13258,11976,1282,917,301,15,1233
전라북도,다세대주택,10245,9102,1143,750,284,55,1089
전라북도,비거주용 건물 내 주택,11323,9511,1812,1366,244,48,1658
전라북도,주택이외의 거처,19435,15570,3865,3115,377,50,3542
전라남도,계,761518,624566,136952,107247,16897,3294,127438
전라남도,주택,731418,600928,130490,102172,16175,3226,121573
전라남도,단독주택,392383,302747,89636,74443,7103,972,82518
전라남도,아파트,303159,267180,35979,24276,8120,2098,34494
전라남도,연립주택,13196,11680,1516,981,389,72,1442
전라남도,다세대주택,8099,7107,992,684,228,32,944
전라남도,비거주용 건물 내 주택,14581,12214,2367,1788,335,52,2175
전라남도,주택이외의 거처,30100,23638,6462,5075,722,68,5865
경상북도,계,1131819,962160,169659,129626,23756,6035,159417
경상북도,주택,1094577,932909,161668,123110,23018,5948,152076
경상북도,단독주택,538616,441406,97210,78547,9668,1897,90112
경상북도,아파트,473622,419345,54277,37304,11491,3598,52393
경상북도,연립주택,24106,21448,2658,1889,486,179,2554
경상북도,다세대주택,37503,33132,4371,3079,875,211,4165
경상북도,비거주용 건물 내 주택,20730,17578,3152,2291,498,63,2852
경상북도,주택이외의 거처,37242,29251,7991,6516,738,87,7341
경상남도,계,1350155,1150659,199496,141713,38206,8343,188262
경상남도,주택,1304378,1112398,191980,135989,37104,8185,181278
경상남도,단독주택,520448,430172,90276,69399,12656,1640,83695
경상남도,아파트,711733,620436,91297,59198,22393,6160,87751
경상남도,연립주택,21420,18710,2710,2013,514,119,2646
경상남도,다세대주택,30384,26309,4075,2711,948,204,3863
경상남도,비거주용 건물 내 주택,20393,16771,3622,2668,593,62,3323
경상남도,주택이외의 거처,45777,38261,7516,5724,1102,158,6984
제주특별자치도,계,263068,222116,40952,31305,6407,1242,38954
제주특별자치도,주택,244958,206698,38260,29063,6154,1218,36435
제주특별자치도,단독주택,119243,97195,22048,17815,2669,399,20883
제주특별자치도,아파트,67407,59136,8271,5553,1925,448,7926
제주특별자치도,연립주택,23014,20134,2880,2043,567,151,2761
제주특별자치도,다세대주택,27771,24004,3767,2697,780,167,3644
제주특별자치도,비거주용 건물 내 주택,7523,6229,1294,955,213,53,1221
제주특별자치도,주택이외의 거처,18110,15418,2692,2242,253,24,2519
